Date,Open,High,Low,Close,Adj Close,Volume
2021-02-09,205.75999450683594,207.6300048828125,203.6999969482422,206.52000427246094,205.9008026123047,7619400
2021-02-10,207.97000122070312,207.97000122070312,205.94000244140625,206.44000244140625,205.821044921875,8467600
2021-02-11,207.3300018310547,211.58999633789062,207.19000244140625,210.66000366210938,210.35446166992188,8411100
2021-02-12,209.36000061035156,211.1300048828125,207.67999267578125,209.9600067138672,209.6554718017578,6911000
2021-02-16,210.66000366210938,211.0500030517578,207.35000610351562,207.89999389648438,207.59844970703125,9652700
2021-02-17,205.25999450683594,208.27999877929688,205.05999755859375,207.50999450683594,207.20901489257812,8373200
2021-02-18,205.8800048828125,209.6999969482422,204.9600067138672,209.35000610351562,209.04635620117188,7328600
2021-02-19,209.33999633789062,209.52999877929688,203.75999450683594,204.72999572753906,204.43304443359375,15011500
2021-02-22,203.5500030517578,210.64999389648438,203.11000061035156,208.32000732421875,208.01785278320312,8337700
2021-02-23,207.39999389648438,213.91000366210938,206.5500030517578,212.11000061035156,211.80235290527344,10571700
2021-02-24,212.36000061035156,220.52999877929688,211.2899932861328,219.42999267578125,219.11172485351562,12039000
2021-02-25,219.2899932861328,220.4499969482422,212.5800018310547,213.75,213.43997192382812,11404300
2021-02-26,214.0500030517578,215.2100067138672,210.74000549316406,212.38999938964844,212.08193969726562,11730000
2021-03-01,214.97000122070312,217.8000030517578,214.7899932861328,216.6300048828125,216.3157958984375,6982000
2021-03-02,216.9600067138672,217.92999267578125,214.82000732421875,215.77000427246094,215.45704650878906,6155200
2021-03-03,215.14999389648438,217.19000244140625,212.86000061035156,214.85000610351562,214.5383758544922,6484600
2021-03-04,215.97000122070312,217.02000427246094,208.6699981689453,211.5,211.1932373046875,10658900
2021-03-05,213.72999572753906,216.10000610351562,209.6300048828125,215.41000366210938,215.09756469726562,7582000
2021-03-08,216.97999572753906,226.1300048828125,215.80999755859375,220.27000427246094,219.9505157470703,14750400
2021-03-09,222.05999755859375,225.0,220.19000244140625,220.36000061035156,220.04039001464844,9228600
2021-03-10,220.72000122070312,224.19000244140625,219.39999389648438,223.1699981689453,222.8463134765625,7822900
2021-03-11,224.52999877929688,228.22999572753906,223.80999755859375,226.14999389648438,225.8219757080078,10053400
2021-03-12,225.27999877929688,226.5399932861328,223.4199981689453,224.36000061035156,224.0345916748047,8172400
2021-03-15,224.22999572753906,227.08999633789062,221.74000549316406,223.27000427246094,222.9461669921875,9306100
2021-03-16,223.7100067138672,225.5800018310547,222.3000030517578,224.6999969482422,224.37408447265625,8949300
2021-03-17,225.0500030517578,226.24000549316406,221.75999450683594,223.02000427246094,222.696533203125,8675600
2021-03-18,221.42999267578125,222.52000427246094,219.5800018310547,220.66000366210938,220.33995056152344,9323000
2021-03-19,219.1199951171875,220.1699981689453,206.8800048828125,206.89999389648438,206.5998992919922,32209700
2021-03-22,206.5500030517578,212.2899932861328,206.22999572753906,208.0,207.6983184814453,11371600
2021-03-23,209.0500030517578,209.9600067138672,207.5,208.14999389648438,207.84808349609375,8820700
2021-03-24,208.75,211.13999938964844,207.92999267578125,208.07000732421875,207.76821899414062,10101600
2021-03-25,207.6699981689453,208.82000732421875,205.77999877929688,207.97000122070312,207.66835021972656,8390800
2021-03-26,208.25,213.6999969482422,207.6999969482422,213.52999877929688,213.2202911376953,7399900
2021-03-29,212.4499969482422,215.2899932861328,211.1199951171875,214.50999450683594,214.19886779785156,7792300
2021-03-30,213.00999450683594,214.14999389648438,211.41000366210938,211.89999389648438,211.5926513671875,5498000
2021-03-31,212.5500030517578,214.11000061035156,211.5500030517578,211.72999572753906,211.4228973388672,13180000
2021-04-01,213.77999877929688,217.74000549316406,212.3000030517578,216.86000061035156,216.5454559326172,6138400
2021-04-05,218.60000610351562,220.50999450683594,217.30999755859375,219.0399932861328,218.7222900390625,10440500
2021-04-06,217.6199951171875,219.39999389648438,215.33999633789062,218.64999389648438,218.33285522460938,7828100
2021-04-07,219.1199951171875,221.0399932861328,218.63999938964844,219.27000427246094,218.95196533203125,5614300
2021-04-08,219.97000122070312,222.82000732421875,218.11000061035156,220.6999969482422,220.3798828125,11042000
2021-04-09,221.0,222.60000610351562,219.50999450683594,222.52000427246094,222.19725036621094,5724900
2021-04-12,220.24000549316406,221.91000366210938,219.22000122070312,221.47000122070312,221.14877319335938,6315200
2021-04-13,221.0,221.6199951171875,220.22000122070312,221.02000427246094,220.69943237304688,4764000
2021-04-14,221.0,223.10000610351562,220.07000732421875,221.97999572753906,221.6580352783203,4972600
2021-04-15,223.88999938964844,227.6300048828125,223.86000061035156,226.27999877929688,225.95179748535156,8698100
2021-04-16,227.1699981689453,227.8000030517578,225.75999450683594,226.41000366210938,226.0816192626953,6829400
2021-04-19,225.75,227.5800018310547,225.0800018310547,225.7899932861328,225.46250915527344,6541600
2021-04-20,224.77999877929688,225.3800048828125,221.82000732421875,223.27999877929688,222.95614624023438,5799100
2021-04-21,223.30999755859375,227.8699951171875,222.8699951171875,227.4499969482422,227.12010192871094,9490600
2021-04-22,227.3000030517578,230.92999267578125,226.88999938964844,227.57000732421875,227.23992919921875,7303000
2021-04-23,228.61000061035156,231.82000732421875,227.7100067138672,230.0,229.66639709472656,5345200
2021-04-26,230.77000427246094,232.9499969482422,229.52000427246094,230.33999633789062,230.0059051513672,5650000
2021-04-27,231.02999877929688,231.16000366210938,228.99000549316406,229.91000366210938,229.5765380859375,6642100
2021-04-28,230.9499969482422,236.27000427246094,230.6699981689453,233.4499969482422,233.11138916015625,10111400
2021-04-29,235.22999572753906,237.5,233.14999389648438,236.86000061035156,236.51644897460938,7411400
2021-04-30,235.32000732421875,235.92999267578125,232.2899932861328,233.55999755859375,233.2212371826172,10260200
2021-05-03,234.0500030517578,235.74000549316406,231.38999938964844,232.61000061035156,232.27261352539062,8174400
2021-05-04,231.60000610351562,232.38999938964844,230.22999572753906,232.02999877929688,231.69345092773438,5884500
2021-05-05,233.85000610351562,233.85000610351562,228.66000366210938,229.2100067138672,228.8775634765625,3887800
2021-05-06,229.6300048828125,231.5800018310547,228.66000366210938,231.32000732421875,230.9844970703125,6124100
2021-05-07,232.33999633789062,233.22000122070312,230.7100067138672,232.1199951171875,231.7833251953125,4528700
2021-05-10,231.60000610351562,232.0,225.16000366210938,225.97000122070312,225.64224243164062,9627400
2021-05-11,223.74000549316406,226.4199981689453,222.0399932861328,225.47999572753906,225.1529541015625,7633300
2021-05-12,223.6300048828125,225.0,220.30999755859375,220.6300048828125,220.30999755859375,7721300
2021-05-13,221.50999450683594,224.89999389648438,220.88999938964844,223.74000549316406,223.74000549316406,6650100
2021-05-14,225.82000732421875,227.50999450683594,224.9199981689453,226.94000244140625,226.94000244140625,4776700
